record_id,original_filename,public_repository_path,transformation,original_sha256,public_sha256,pages
fbc-001-damian-x-fulton,2026-07-20_16-42-34(1).png,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/assets/title-card.png,copy,78ceebb1638d9055131996c29479077eb83169135376f9de7dcf65ff213d9384,78ceebb1638d9055131996c29479077eb83169135376f9de7dcf65ff213d9384,
fbc-001-damian-x-fulton,Pasted text(14).txt,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/source/original-transcript-timestamped.txt,copy,9e716fa0e6536a1ece1b00316cc7ab93dd9894b15f20730708dbb48bd56793ef,9e716fa0e6536a1ece1b00316cc7ab93dd9894b15f20730708dbb48bd56793ef,
fbc-001-damian-x-fulton,damian-fulton-proposal-public-redacted.pdf,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/source/pre-production/podcast-proposal-public-redacted.pdf,redacted_public_copy,b0301604d8e451bc42efaf134af747c51492e174d97e3462acad97d815a0e123,b0301604d8e451bc42efaf134af747c51492e174d97e3462acad97d815a0e123,12
fbc-001-damian-x-fulton,Damian First Page Questions.pdf,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/source/pre-production/first-page-questions.pdf,copy,5519ae01756a5db71896c11ddf7533be4853a2bc0ca38bc1cc38a83e273b00d5,5519ae01756a5db71896c11ddf7533be4853a2bc0ca38bc1cc38a83e273b00d5,1
fbc-001-damian-x-fulton,BMX Fireside Chat Script_ Damian Fulton.pdf,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/source/pre-production/script-outline.pdf,copy,97974c098c71c35d55ddf52bef5a5afcb9d047f07cf5905080a64432ed8b322e,97974c098c71c35d55ddf52bef5a5afcb9d047f07cf5905080a64432ed8b322e,9
fbc-001-damian-x-fulton,damian-fulton-press-release-public-redacted.pdf,collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/source/publication/press-release-public-redacted.pdf,redacted_public_copy,87a70ccdaaaf0d7e256182c3e72ead7c6637618e08f19caef27c46d56ba3ac14,87a70ccdaaaf0d7e256182c3e72ead7c6637618e08f19caef27c46d56ba3ac14,1
fbc-greg-hill-floored,2026-07-20_17-23-56.png,collections/fireside-bmx-chat/records/fbc-greg-hill-floored/assets/title-card.png,copy,6c3e8e34c3549aa9a2082534ea6d54e461527df32bfbfc3fa7bf0c3a4835fc56,6c3e8e34c3549aa9a2082534ea6d54e461527df32bfbfc3fa7bf0c3a4835fc56,
fbc-greg-hill-floored,Pasted text(15).txt,collections/fireside-bmx-chat/records/fbc-greg-hill-floored/source/original-transcript-timestamped.txt,copy,3fe46f26a2b673aa49a3d29f09a64b68a23de2d5b7b1d9eaec01a13e700824fe,3fe46f26a2b673aa49a3d29f09a64b68a23de2d5b7b1d9eaec01a13e700824fe,
fbc-greg-hill-floored,Fireside BMX Chat Proposal_ Greg Hill.pdf,collections/fireside-bmx-chat/records/fbc-greg-hill-floored/source/pre-production/podcast-proposal.pdf,copy,0c48a38d31270d9aa2f75273b459043008aee87c29de97453a025e97940c0839,0c48a38d31270d9aa2f75273b459043008aee87c29de97453a025e97940c0839,6
fbc-greg-hill-floored,Greg Hill and I made a podcast.pdf,collections/fireside-bmx-chat/records/fbc-greg-hill-floored/source/publication/description-development-notes.pdf,copy,cf9a6abb2201b125ee9ef0679ead7abfe81805dc5d3936ab90fb6ad1f91a8e14,cf9a6abb2201b125ee9ef0679ead7abfe81805dc5d3936ab90fb6ad1f91a8e14,2
